	CellCycle-G2M	Translation	HLA	ISG	Mito	Doublet-RBC	gdT	CellCycle-S	Cytotoxic	Doublet-Platelet	NME1/FABP5	Th22	MAIT	CellCycle-Late-S	Cytoskeleton	Heatshock	Multi-Cytokine	TEMRA	Doublet-Myeloid	Metallothionein	CD4-CM	IEG	CD8-EM	IEG2	CD4-Naive	Treg	Th17-Resting	Poor-Quality	CD8-Naive	RGCC/MYADM	TIMD4/TIM3	Doublet-Plasmablast	BCL2/FAM13A	IL10/IL19	Th2-Activated	Th2-Resting	ICOS/CD38	Doublet-Bcell	Th1-Like	CTLA4/CD38	CD8-Trm	Th17-Activated	Tfh-2	OX40/EBI3	CD172a/MERTK	IEG3	Doublet-Fibroblast	SOX4/TOX2	CD40LG/TXNIP	Tph	Exhaustion	Tfh-1
ACC22-P18-LN-A11	0.00042774476	0.2714316	0.0036499612	0.01550583	0.07706182	0.0007646143	0.009100376	0.0009306613	0.0178412	0.0042741993	0.0032185202	0.0056247995	0.01016851	0.00072585826	0.029258072	0.0043414347	0.0014035052	0.005012534	0.012426026	0.0003593306	0.014790419	0.0128310565	0.021578372	0.028990678	0.047369875	0.0065833526	0.010138572	0.0052808705	0.07082081	0.028114656	0.0014694438	0.016549444	0.015503897	0.0023779299	0.0039869193	0.007991061	0.0073129735	0.0041444195	0.013035349	0.0021882837	0.008566017	0.0020883253	0.0044668857	0.0029435053	0.06264972	0.08830119	0.002835303	0.008238144	0.018520528	0.00079034845	0.0008694809	0.0051456615
ACC22-P18-LN-A12	0.0006191237	0.331512	0.006204655	0.0032082256	0.03750642	0.000995077	0.0062064	0.00018419065	0.022960356	0.0040256362	0.0029890628	0.008315161	0.008362189	0.0006717521	0.026770435	0.0019885069	0.0020736335	0.004001589	0.0058661434	0.00026349447	0.021086214	0.019298173	0.027361788	0.030545224	0.10828992	0.007935613	0.008536089	0.00063634466	0.024833994	0.00844161	0.0010590688	0.0051734205	0.006251241	0.006981448	0.006804786	0.007974211	0.0072442926	0.0011775177	0.013258231	0.007918793	0.0018637704	0.0013507988	0.009651538	0.0015274796	0.09088684	0.051273707	0.0031933456	0.0040294374	0.03201416	0.0033253073	0.0024776026	0.0028740582
ACC22-P18-LN-A1	0.00072587014	0.2657884	0.0067314403	0.0077017825	0.019129036	0.00084435404	0.014009908	0.00031490473	0.041275293	0.004270922	0.0037509648	0.020826098	0.009637615	0.0008642801	0.040085893	0.0021828602	0.005322779	0.007406522	0.002370181	0.00030129697	0.016455537	0.01354656	0.11976382	0.06012544	0.015237016	0.0061334735	0.006400402	0.0013681264	0.012285171	0.043209683	0.004050772	0.0037547965	0.0042616455	0.008100527	0.003106331	0.007994593	0.006121999	0.0010212094	0.030950066	0.0024160075	0.0045729643	0.0019717715	0.006023912	0.0034109487	0.07586424	0.058877233	0.0015920949	0.00351438	0.020613097	0.0009217316	0.0016839658	0.0011100309
ACC22-P18-LN-A4	0.00044999496	0.22300318	0.017023455	0.005001601	0.029334743	0.00088988396	0.0067455596	6.4504406e-05	0.014119623	0.0032950533	0.0005821924	0.03794929	0.014824645	0.00028444335	0.03587942	0.004610345	0.0059520956	0.002818415	0.008530469	0.00018606838	0.0441512	0.036771607	0.021520823	0.04646729	0.022446588	0.017411286	0.03783064	0.0016160652	0.006289907	0.017429303	0.0011021032	0.00642887	0.0054731444	0.0013754033	0.0041772816	0.02445607	0.009613716	0.001015115	0.016865652	0.0067468267	0.0029910016	0.0039258925	0.008609452	0.0031000455	0.09125725	0.040930837	0.0013351975	0.0022703286	0.09915172	0.0021588942	0.0009928553	0.0025427833
ACC22-P18-LN-A5	0.0007496039	0.32091454	0.034369152	0.0054338826	0.008265151	0.0018374162	0.025751136	0.0002903211	0.042762127	0.0033691246	0.003622204	0.008145667	0.015037191	0.000513057	0.034556378	0.0011180548	0.010996075	0.010629485	0.0038664127	0.0028040903	0.0066068717	0.06246672	0.08318062	0.051553395	0.006048771	0.0038485168	0.0042203525	0.0010880549	0.004596623	0.006518744	0.0014361972	0.0040412047	0.0014578925	0.00446454	0.004031791	0.0049342504	0.0058438126	0.0010904854	0.012039826	0.0031573279	0.0036784727	0.0019468957	0.0026829538	0.0020960541	0.11386409	0.04356825	0.0028228697	0.0053040255	0.014552994	0.00071359734	0.00063012884	0.00048275158
ACC22-P18-LN-A6	0.0009766939	0.22086045	0.0025983276	0.011781466	0.044680234	0.0015872621	0.011673204	0.00036380344	0.018769128	0.0031986241	0.0020133315	0.03485072	0.033994682	0.0009644395	0.03756545	0.00505909	0.004038186	0.0027273858	0.0052439105	0.0011392959	0.025298966	0.017537607	0.013190684	0.043887135	0.029580537	0.009583114	0.039251402	0.005342117	0.008915367	0.030736584	0.00068968243	0.0056172027	0.006522552	0.00413205	0.006077448	0.017485669	0.008515434	0.0017707257	0.035911962	0.0071896194	0.0027868191	0.01711457	0.00548702	0.0061518503	0.07592529	0.03867761	0.0033786201	0.002627792	0.08028856	0.0035865027	0.00034824814	0.0023056343
ACC22-P18-LN-A7	0.0007027761	0.258173	0.0030467391	0.0042183776	0.05535403	0.0009812393	0.0075563523	0.00046499487	0.018162096	0.0035620655	0.0007834422	0.009968217	0.009681398	0.001375055	0.038208235	0.0032919825	0.002877576	0.002290416	0.0025897466	0.00026842288	0.029143164	0.02387706	0.017099118	0.073733255	0.066495165	0.009035919	0.0093388725	0.0015055912	0.023631336	0.0044144234	0.0005156651	0.007503391	0.008764665	0.0078016766	0.007574649	0.00911141	0.006814566	0.0011230642	0.013369201	0.0030898624	0.0022739458	0.0017924134	0.007292086	0.0016930087	0.088184714	0.07722766	0.01459046	0.0048800856	0.04677237	0.0015332018	0.00058286503	0.0056788274
ACC22-P18-LN-B10	0.00041315844	0.21399704	0.006236698	0.010576269	0.03610667	0.0015528551	0.011372744	0.000635364	0.01616874	0.0041965516	0.0029166702	0.01227849	0.010861717	0.00056964485	0.051168095	0.013228349	0.003557476	0.004665111	0.0052932473	0.00026447425	0.027387636	0.01763178	0.035955157	0.07343923	0.029512323	0.012486241	0.00795642	0.0024207095	0.013586143	0.00857753	0.0028784825	0.006183907	0.0051431186	0.006835476	0.005249692	0.010456561	0.010138903	0.00093540543	0.035020284	0.007208536	0.0032423416	0.0021919864	0.0065939426	0.004703318	0.11256197	0.05368234	0.0028545854	0.0044183317	0.07643895	0.0017502557	0.0011738806	0.0053251493
ACC22-P18-LN-B11	0.0015988224	0.25489572	0.004163733	0.0050510876	0.02503474	0.0011911057	0.009289067	0.0002916971	0.017944468	0.004088683	0.0050390423	0.010981209	0.010461394	0.00070054835	0.038765304	0.01056991	0.0023415992	0.0052371286	0.0039787185	0.00034995377	0.04760629	0.024368504	0.016618852	0.066677734	0.039507736	0.011615039	0.0061930227	0.0035439364	0.01169683	0.02107753	0.0010268812	0.006606219	0.0076337783	0.0047094133	0.005148523	0.010571989	0.011832021	0.0012123171	0.007916489	0.004194611	0.002368974	0.002850854	0.017614193	0.003488947	0.069790326	0.081388354	0.0027306855	0.009659436	0.0742836	0.0025383064	0.0018717496	0.009683013
ACC22-P18-LN-B12	0.0021072128	0.2706297	0.01188073	0.01412286	0.01593012	0.00092281075	0.014627227	0.000569346	0.018913181	0.0036236153	0.001967638	0.013175446	0.014093533	0.0013503842	0.033118617	0.0020047398	0.0035439653	0.008313138	0.00410543	0.0014088281	0.011228216	0.04172125	0.053383272	0.06878819	0.017309135	0.011947737	0.008571144	0.0016839016	0.032844055	0.024111822	0.0033403756	0.0076321005	0.004552834	0.004422432	0.0041230884	0.0065564355	0.009619345	0.0011170587	0.02768473	0.0020914215	0.015133345	0.0015601647	0.0039742645	0.0016498615	0.0853814	0.0685921	0.001576385	0.0034164072	0.034611277	0.0015114059	0.0013798799	0.0020762219
ACC22-P18-LN-B2	0.0011235272	0.26224932	0.0055970224	0.0054267393	0.004844786	0.0008367492	0.032820683	0.0003779991	0.04326991	0.0047149668	0.0015953141	0.026005227	0.022644568	0.00051887025	0.054088183	0.0050725923	0.013632197	0.006879774	0.0032482003	0.0003454756	0.009692147	0.043475904	0.04874047	0.06334048	0.006138603	0.0069455705	0.01511579	0.0004389999	0.022097355	0.03841065	0.009205836	0.0020703843	0.0006249211	0.0031464596	0.0048118182	0.0058119493	0.008980109	0.00063886796	0.017476426	0.00475191	0.019690562	0.0044225706	0.0028909482	0.0010438367	0.063450955	0.0651383	0.0008554543	0.002856842	0.026467085	0.0017583546	0.0029365749	0.0012818594
ACC22-P18-LN-B3	0.00091859803	0.31047136	0.004466324	0.014272072	0.04704602	0.0009801005	0.0075970967	0.00089360063	0.012550494	0.004130065	0.004376674	0.010459111	0.009397335	0.003951443	0.061628632	0.0011397642	0.00085159094	0.0039164787	0.008955845	0.00036251527	0.01175205	0.041134387	0.010697553	0.057136007	0.033940747	0.005687293	0.01103976	0.001124239	0.02144676	0.003900171	0.00044203884	0.008100007	0.012224183	0.0038053403	0.003972898	0.0078050154	0.0031713408	0.0015264394	0.006999442	0.003991398	0.0018282835	0.0012523319	0.004579978	0.0054727606	0.10696438	0.08564061	0.008356771	0.007820652	0.016905695	0.0007273741	0.0008182083	0.0013707223
ACC22-P18-LN-B4	0.0009271664	0.3081548	0.0032003412	0.004734604	0.028292751	0.00083759887	0.0067884945	0.0001499868	0.020119397	0.0050004623	0.0014818175	0.013583271	0.007815954	0.00061322737	0.030640824	0.0017377876	0.0019588757	0.0029052538	0.0026041544	0.0016832332	0.02178016	0.033508483	0.016854456	0.058377907	0.033428118	0.013560422	0.005440441	0.0026171678	0.0135831125	0.014201852	0.00041591623	0.0041597458	0.0038201949	0.0031859914	0.003234281	0.007918487	0.009365298	0.0013162707	0.021076255	0.003301018	0.0022193023	0.0015744169	0.004351912	0.0012903786	0.10700367	0.068638034	0.02132322	0.003629594	0.07235496	0.0017311322	0.00015838342	0.0013495141
ACC22-P18-LN-B6	0.0017318568	0.20405282	0.0028490857	0.0038126705	0.0426017	0.0008226099	0.009130329	0.00038573943	0.011114243	0.0038074718	0.002756134	0.006395118	0.011036964	0.0007119511	0.031158993	0.012271886	0.0030907127	0.0033511922	0.0028832315	0.00022936062	0.024196789	0.022780918	0.07688606	0.077155285	0.017587963	0.023729326	0.008691661	0.0050523626	0.01245352	0.0049005873	0.0007408596	0.009336323	0.0024315896	0.013297671	0.002689232	0.009162104	0.00758415	0.005524775	0.031907044	0.0050152065	0.0017734894	0.016303504	0.0125587275	0.0020977764	0.10078244	0.05470029	0.0022598575	0.0034429487	0.08208654	0.0029108606	0.0019091708	0.0038569486
