	ASA	Proliferation	ASA_binary	Proliferation_binary	Multinomial_Label
ACC22-P18-LN-A11	0.013914206298068166	0.002084264298900962	False	False	CD8_Naive
ACC22-P18-LN-A12	0.01774963387288153	0.001475066426792182	False	False	CD4_Naive
ACC22-P18-LN-A1	0.01599972741678357	0.0019050549599342048	False	False	CD8_CM
ACC22-P18-LN-A4	0.020562691381201148	0.0007989427103893831	False	False	CD4_CM
ACC22-P18-LN-A5	0.012533391825854778	0.0015529819938819855	False	False	CD8_Naive
ACC22-P18-LN-A6	0.02254658646415919	0.0023049368464853615	False	False	CD4_CM
ACC22-P18-LN-A7	0.012113102187868208	0.0025428259978070855	False	False	CD4_Naive
ACC22-P18-LN-B10	0.024929238948971033	0.0016181672690436244	False	False	CD4_CM
ACC22-P18-LN-B11	0.02054246049374342	0.0025910678668878973	False	False	CD4_CM
ACC22-P18-LN-B12	0.016701003536581993	0.0040269430028274655	False	False	CD8_Naive
ACC22-P18-LN-B2	0.0239816919201985	0.002020396525040269	False	False	CD8_CM
ACC22-P18-LN-B3	0.013077538314973935	0.005763641558587551	False	False	CD4_Naive
ACC22-P18-LN-B4	0.01437261063256301	0.0016903805371839553	False	False	CD4_Naive
ACC22-P18-LN-B6	0.015437992464285344	0.002829547389410436	False	False	CD4_CM
ACC22-P18-LN-B7	0.013997970032505691	0.0014882582327118143	False	False	CD8_Naive
ACC22-P18-LN-B9	0.013211442856118083	0.004151784814894199	False	False	CD8_Naive
ACC22-P18-LN-C10	0.02748308377340436	0.0018689740973059088	False	False	CD4_Naive
ACC22-P18-LN-C11	0.012894435203634202	0.0020193192176520824	False	False	CD4_Naive
ACC22-P18-LN-C12	0.04037165071349591	0.002075597338262014	False	False	CD4_CM
ACC22-P18-LN-C2	0.03331080556381494	0.003645637072622776	False	False	CD4_CM
ACC22-P18-LN-C3	0.008929005358368158	0.001068057623342611	False	False	CD4_Naive
ACC22-P18-LN-C4	0.022375771775841713	0.0021673890587408096	False	False	CD4_EM
ACC22-P18-LN-C5	0.02455712202936411	0.004939851118251681	False	False	CD4_EM
ACC22-P18-LN-C6	0.009146879310719669	0.002512455132091418	False	False	CD8_Naive
ACC22-P18-LN-C7	0.013669203035533428	0.0013648399180965498	False	False	CD4_Naive
ACC22-P18-LN-C8	0.009284881118219346	0.0011829248251160607	False	False	CD4_Naive
ACC22-P18-LN-C9	0.019796505570411682	0.0017854452598839998	False	False	CD4_Naive
ACC22-P18-LN-D10	0.024785091634839773	0.0052154132863506675	False	False	CD8_EM
ACC22-P18-LN-D2	0.01684413431212306	0.00844434811733663	False	False	gdT
ACC22-P18-LN-D3	0.02943353250157088	0.002630936447530985	False	False	CD4_CM
ACC22-P18-LN-D4	0.0179975766222924	0.0007775386329740286	False	False	CD8_Naive
ACC22-P18-LN-D5	0.014510750072076917	0.0023260627494892105	False	False	CD4_Naive
ACC22-P18-LN-D6	0.0075544765568338335	0.0036547023337334394	False	False	CD8_Naive
ACC22-P18-LN-D7	0.036028992384672165	0.0018941182643175125	False	False	CD4_CM
ACC22-P18-LN-D9	0.00936615705722943	0.0019555220642359927	False	False	CD4_Naive
ACC22-P18-LN-E10	0.09830460464581847	0.00841674383264035	True	False	CD4_CM
ACC22-P18-LN-E11	0.009269522095564753	0.0038996666262391955	False	False	CD4_CM
ACC22-P18-LN-E12	0.00958767655538395	0.002333610085770488	False	False	CD4_Naive
ACC22-P18-LN-E1	0.0297858789563179	0.003428756259381771	False	False	CD4_CM
ACC22-P18-LN-E2	0.08112022886052728	0.0027366980211809278	True	False	CD4_CM
ACC22-P18-LN-E3	0.0644214884378016	0.001651353610213846	True	False	Treg
ACC22-P18-LN-E4	0.02523059758823365	0.005390227946918458	False	False	CD4_CM
ACC22-P18-LN-E6	0.019791199127212167	0.0030555343255400658	False	False	CD8_EM
ACC22-P18-LN-E7	0.01422246074071154	0.005870948807569221	False	False	CD4_Naive
ACC22-P18-LN-E9	0.0180069551570341	0.004539541259873658	False	False	CD4_CM
ACC22-P18-LN-F10	0.01067938469350338	0.0012892123777419329	False	False	CD4_Naive
ACC22-P18-LN-F11	0.028118360554799438	0.011178328189998865	False	False	CD4_Naive
ACC22-P18-LN-F12	0.032398110488429666	0.006274079438298941	False	False	CD4_Naive
ACC22-P18-LN-F1	0.013918538112193346	0.0025355014950037003	False	False	CD4_Naive
ACC22-P18-LN-F2	0.024485427420586348	0.006769348867237568	False	False	CD4_CM
ACC22-P18-LN-F3	0.0183449883479625	0.001321799005381763	False	False	CD8_Naive
ACC22-P18-LN-F4	0.006904682784806937	0.00050298856695008	False	False	CD8_TEMRA
ACC22-P18-LN-F5	0.04037702945061028	0.005508355097845197	False	False	Treg
ACC22-P18-LN-F6	0.06744813546538353	0.0012023313902318478	True	False	Treg
ACC22-P18-LN-F8	0.03561495803296566	0.0035494217881932855	False	False	Treg
ACC22-P18-LN-F9	0.011042966390959918	0.0031770652276463807	False	False	CD4_Naive
ACC22-P18-LN-G10	0.015255032223649323	0.0006841934518888593	False	False	CD4_Naive
ACC22-P18-LN-G11	0.02776260650716722	0.003007405495736748	False	False	CD4_CM
ACC22-P18-LN-G12	0.02978321467526257	0.0018731419113464653	False	False	CD4_Naive
ACC22-P18-LN-G1	0.019791143073234707	0.002666040207259357	False	False	CD4_CM
ACC22-P18-LN-G2	0.06891561252996325	0.006076666060835123	True	False	Treg
ACC22-P18-LN-G3	0.015617220662534237	0.00021730651133111678	False	False	CD4_EM
ACC22-P18-LN-G4	0.030982900643721223	0.003602519747801125	False	False	CD8_CM
ACC22-P18-LN-G5	0.01040727156214416	0.0036350356531329453	False	False	CD4_Naive
ACC22-P18-LN-G6	0.022809783462435007	0.0028661441756412387	False	False	CD4_Naive
ACC22-P18-LN-G7	0.02228101307991892	0.0009028724234667607	False	False	CD4_CM
ACC22-P18-LN-G8	0.017720467876642942	0.0012535918795038015	False	False	Treg
ACC22-P18-LN-G9	0.0341437344904989	0.005971822421997786	False	False	CD4_CM
ACC22-P18-LN-H10	0.012511422799434513	0.0033142715983558446	False	False	CD4_Naive
ACC22-P18-LN-H11	0.024022070690989494	0.0018912345403805375	False	False	CD4_Naive
ACC22-P18-LN-H12	0.0181227297289297	0.0011305728403385729	False	False	gdT
ACC22-P18-LN-H1	0.007325519516598433	0.002383239596383646	False	False	CD8_Naive
ACC22-P18-LN-H2	0.01813383784610778	0.004915191442705691	False	False	CD4_Naive
ACC22-P18-LN-H3	0.00983053504023701	0.0021508621430257335	False	False	CD4_Naive
