"barcode_sample"	"cell_type"
"ACC2-P10-A2"	"Myo pri"
"ACC2-P10-B1"	"Luminal pri"
"ACC2-P10-B7"	"Myo pri"
"ACC2-P10-C11"	"Myo pri"
"ACC2-P10-C1"	"Luminal pri"
"ACC2-P10-D8"	"Myo pri"
"ACC2-P10-E9"	"Luminal pri"
"ACC2-P10-G10"	"Myo pri"
"ACC2-P10-G1"	"Luminal pri"
"ACC2-P10-H2"	"Myo pri"
"ACC2-P10-H4"	"Luminal pri"
"ACC2-P8-A6"	"Myo pri"
"ACC2-P8-A7"	"Luminal pri"
"ACC2-P8-A9"	"Myo pri"
"ACC2-P8-C11"	"Luminal pri"
"ACC2-P8-C1"	"Myo pri"
"ACC2-P8-C2"	"Myo pri"
"ACC2-P8-C3"	"Myo pri"
"ACC2-P8-C4"	"Myo pri"
"ACC2-P8-C7"	"Myo pri"
"ACC2-P8-D11"	"Myo pri"
"ACC2-P8-D2"	"Myo pri"
"ACC2-P8-E1"	"Myo pri"
"ACC2-P8-E2"	"Luminal pri"
"ACC2-P8-E5"	"Myo pri"
"ACC2-P8-F11"	"Myo pri"
"ACC2-P8-G1"	"Myo pri"
"ACC2-P8-G2"	"Myo pri"
"ACC2-P8-G9"	"Myo pri"
"ACC2-P8-H10"	"Myo pri"
"ACC2-P8-H4"	"Myo pri"
"ACC2-P8-H5"	"Myo pri"
"ACC2-P8-H9"	"Myo pri"
"ACC2-P9-A7"	"Myo pri"
"ACC2-P9-A8"	"Myo pri"
"ACC2-P9-B3"	"Myo pri"
"ACC2-P9-C10"	"Myo pri"
"ACC2-P9-C11"	"Luminal pri"
"ACC2-P9-C8"	"Myo pri"
"ACC2-P9-C9"	"Luminal pri"
"ACC2-P9-D11"	"Myo pri"
"ACC2-P9-D2"	"Myo pri"
"ACC2-P9-E12"	"Luminal pri"
"ACC2-P9-E7"	"Myo pri"
"ACC2-P9-F11"	"Myo pri"
"ACC2-P9-F2"	"Myo pri"
"ACC2-P9-F3"	"Myo pri"
"ACC2-P9-F5"	"Myo pri"
"ACC2-P9-G5"	"Myo pri"
"ACC2-P9-H11"	"Myo pri"
"ACC5-P10-G10"	"Luminal pri"
"ACC15-P1-B06"	"Luminal pri"
"ACC15-P1-C02"	"Luminal pri"
"ACC15-P1-D12"	"Myo pri"
"ACC15-P1-E03"	"Luminal pri"
"ACC15-P1-F01"	"Myo pri"
"ACC15-P1-F06"	"Myo pri"
"ACC15-P1-G11"	"Myo pri"
"ACC15-P1-H10"	"Luminal pri"
"ACC15-P1-H11"	"Luminal pri"
"ACC15-P5-A2"	"Luminal pri"
"ACC15-P5-C12"	"Luminal pri"
"ACC15-P5-C5"	"Luminal pri"
"ACC15-P5-D9"	"Luminal pri"
"ACC15-P5-E8"	"Luminal pri"
"ACC15-P5-F7"	"Myo pri"
"ACC15-P5-G10"	"Luminal pri"
"ACC15-P5-G3"	"Myo pri"
"ACC15-P5-H11"	"Myo pri"
"ACC19-P2-A1"	"Luminal pri"
"ACC19-P2-A10"	"Myo pri"
"ACC19-P2-A2"	"Myo pri"
"ACC19-P2-A3"	"Luminal pri"
"ACC19-P2-A4"	"Myo pri"
"ACC19-P2-A7"	"Myo pri"
"ACC19-P2-B1"	"Myo pri"
"ACC19-P2-B10"	"Luminal pri"
"ACC19-P2-B5"	"Luminal pri"
"ACC19-P2-B6"	"Myo pri"
"ACC19-P2-B7"	"Myo pri"
"ACC19-P2-B9"	"Luminal pri"
"ACC19-P2-C10"	"Luminal pri"
"ACC19-P2-C3"	"Luminal pri"
"ACC19-P2-C4"	"Myo pri"
"ACC19-P2-C5"	"Myo pri"
"ACC19-P2-C7"	"Luminal pri"
"ACC19-P2-D10"	"Myo pri"
"ACC19-P2-D11"	"Luminal pri"
"ACC19-P2-D12"	"Myo pri"
"ACC19-P2-D2"	"Myo pri"
"ACC19-P2-D4"	"Myo pri"
"ACC19-P2-D5"	"Myo pri"
"ACC19-P2-D6"	"Myo pri"
"ACC19-P2-D7"	"Myo pri"
"ACC19-P2-D9"	"Luminal pri"
"ACC19-P2-E1"	"Myo pri"
"ACC19-P2-E12"	"Myo pri"
"ACC19-P2-E2"	"Myo pri"
"ACC19-P2-E3"	"Myo pri"
"ACC19-P2-E4"	"Myo pri"
"ACC19-P2-E8"	"Myo pri"
"ACC19-P2-F1"	"Myo pri"
"ACC19-P2-F12"	"Luminal pri"
"ACC19-P2-F3"	"Luminal pri"
"ACC19-P2-F4"	"Myo pri"
"ACC19-P2-F8"	"Luminal pri"
"ACC19-P2-F9"	"Luminal pri"
"ACC19-P2-G10"	"Myo pri"
"ACC19-P2-G2"	"Myo pri"
"ACC19-P2-G6"	"Myo pri"
"ACC19-P2-G7"	"Myo pri"
"ACC19-P2-G8"	"Luminal pri"
"ACC19-P2-H1"	"Luminal pri"
"ACC19-P2-H12"	"Luminal pri"
"ACC19-P2-H2"	"Myo pri"
"ACC19-P2-H3"	"Myo pri"
"ACC19-P2-H4"	"Myo pri"
"ACC19-P2-H5"	"Myo pri"
"ACC19-P2-H6"	"Luminal pri"
"ACC19-P3-A1"	"Myo pri"
"ACC19-P3-A10"	"Luminal pri"
"ACC19-P3-A11"	"Myo pri"
"ACC19-P3-A3"	"Myo pri"
"ACC19-P3-A4"	"Myo pri"
"ACC19-P3-A5"	"Myo pri"
"ACC19-P3-A8"	"Myo pri"
"ACC19-P3-A9"	"Myo pri"
"ACC19-P3-B10"	"Myo pri"
"ACC19-P3-B11"	"Luminal pri"
"ACC19-P3-B2"	"Luminal pri"
"ACC19-P3-B8"	"Myo pri"
"ACC19-P3-B9"	"Myo pri"
"ACC19-P3-C1"	"Luminal pri"
"ACC19-P3-C10"	"Myo pri"
"ACC19-P3-C11"	"Myo pri"
"ACC19-P3-C12"	"Luminal pri"
"ACC19-P3-C4"	"Myo pri"
"ACC19-P3-C8"	"Luminal pri"
"ACC19-P3-C9"	"Myo pri"
"ACC19-P3-D1"	"Myo pri"
"ACC19-P3-D10"	"Myo pri"
"ACC19-P3-D2"	"Myo pri"
"ACC19-P3-D6"	"Luminal pri"
"ACC19-P3-D8"	"Luminal pri"
"ACC19-P3-D9"	"Myo pri"
"ACC19-P3-E1"	"Myo pri"
"ACC19-P3-E11"	"Myo pri"
"ACC19-P3-E12"	"Myo pri"
"ACC19-P3-E2"	"Luminal pri"
"ACC19-P3-E3"	"Myo pri"
"ACC19-P3-E6"	"Myo pri"
"ACC19-P3-E7"	"Luminal pri"
"ACC19-P3-F12"	"Myo pri"
"ACC19-P3-F2"	"Luminal pri"
"ACC19-P3-F3"	"Myo pri"
"ACC19-P3-F4"	"Myo pri"
"ACC19-P3-F5"	"Myo pri"
"ACC19-P3-F6"	"Luminal pri"
"ACC19-P3-F7"	"Myo pri"
"ACC19-P3-F8"	"Myo pri"
"ACC19-P3-F9"	"Myo pri"
"ACC19-P3-G10"	"Myo pri"
"ACC19-P3-G12"	"Luminal pri"
"ACC19-P3-G2"	"Myo pri"
"ACC19-P3-G3"	"Myo pri"
"ACC19-P3-G4"	"Myo pri"
"ACC19-P3-G5"	"Luminal pri"
"ACC19-P3-H10"	"Myo pri"
"ACC19-P3-H2"	"Luminal pri"
"ACC19-P3-H3"	"Luminal pri"
"ACC19-P3-H5"	"Myo pri"
"ACC19-P3-H6"	"Myo pri"
"ACC19-P3-H8"	"Luminal pri"
"ACC19-P3-H9"	"Myo pri"
"ACC19-Plate1-A1"	"Luminal pri"
"ACC19-Plate1-A2"	"Myo pri"
"ACC19-Plate1-A3"	"Myo pri"
"ACC19-Plate1-B10"	"Luminal pri"
"ACC19-Plate1-B3"	"Luminal pri"
