gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Basophils LN	Basophils pri	CAF LN	CAF pri	CD8+ NKT-like LN	CD8+ NKT-like pri	Effector CD8+ T LN	Effector CD8+ T pri	Luminal LN	Luminal pri	Macrophages LN	Macrophages pri	Myeloid Dendritic LN	Myo LN	Myo pri	Naive B LN	Naive B pri	Naive CD4+ T LN	Naive CD4+ T pri	Neutrophils LN	Neutrophils pri	Plasma B LN	Plasma B pri	Plasmacytoid Dendritic LN	Plasmacytoid Dendritic pri
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.271	0.279	0.445	1.136	0.48	0.674	0.583	0.225	0.067	1.338	1.303	0.567	0.0	0.109	0.52	0.846	1.278	1.087	0.0	0.215	0.0	0.637	2.844	1.7
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.0	0.271	0.279	0.445	1.136	0.48	0.674	0.583	0.225	0.067	1.338	1.303	0.567	0.0	0.109	0.52	0.846	1.278	1.087	0.0	0.215	0.0	0.637	2.844	1.7
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.271	0.279	0.445	1.136	0.48	0.674	0.583	0.225	0.067	1.338	1.303	0.567	0.0	0.109	0.52	0.846	1.278	1.087	0.0	0.215	0.0	0.637	2.844	1.7
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	6.397	0.82	1.848	0.816	0.401	0.338	0.317	0.281	1.292	1.238	2.393	1.423	0.029	0.334	0.532	0.095	1.568	0.372	0.403	0.0	1.442	0.0	0.073	1.222	1.291
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	6.397	0.82	1.848	0.816	0.401	0.338	0.317	0.281	1.292	1.238	2.393	1.423	0.029	0.334	0.532	0.095	1.568	0.372	0.403	0.0	1.442	0.0	0.073	1.222	1.291
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	6.397	0.82	1.848	0.816	0.401	0.338	0.317	0.281	1.292	1.238	2.393	1.423	0.029	0.334	0.532	0.095	1.568	0.372	0.403	0.0	1.442	0.0	0.073	1.222	1.291
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.0	0.27	0.411	1.359	0.0	0.122	0.0	0.077	1.103	1.219	3.049	0.742	0.0	2.415	1.22	0.082	0.0	0.034	0.086	0.0	0.0	0.0	0.0	0.0	1.657
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.0	0.128	0.586	0.517	0.143	0.176	0.0	0.115	1.11	1.021	0.0	0.406	0.452	0.0	0.982	0.171	0.0	0.0	0.125	0.0	0.0	0.0	0.423	1.635	0.489
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.0	0.0	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.018	0.0	0.032	0.0	0.0	0.046	0.0	0.0	0.0	0.021	0.0	0.189	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	0.0	0.076	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.082	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	0.0	0.076	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.082	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	0.0	0.076	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.082	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.0	0.0	0.0	0.018	0.051	0.052	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.081	0.0	0.0	0.0	0.356	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.0	0.0	0.0	0.018	0.051	0.052	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.081	0.0	0.0	0.0	0.356	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.0	0.0	0.0	0.018	0.051	0.052	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.081	0.0	0.0	0.0	0.356	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.0	0.082	0.08	0.033	0.0	0.0	0.0	0.0	0.021	0.0	0.02	0.0	0.0	0.025	0.0	0.0	0.032	0.0	0.0	0.0	0.127	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.0	0.0	3.017	2.712	0.0	0.091	0.0	0.009	2.792	2.774	3.634	1.064	0.725	1.947	2.281	0.0	0.0	0.051	0.01	0.0	0.065	0.0	0.0	0.601	0.552
