"cell_type"	"microenviroment"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Myo LN"	"LN"
"Luminal LN"	"LN"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
