gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CAF LN	CAF pri	CD4_CM LN	CD4_CM pri	CD4_EM LN	CD4_EM pri	CD4_Naive LN	CD4_Naive pri	CD8_CM LN	CD8_CM pri	CD8_EM LN	CD8_EM pri	CD8_Naive LN	CD8_Naive pri	CD8_TEMRA LN	CD8_TEMRA pri	Luminal LN	Luminal pri	MAIT pri	Myo LN	Myo pri	Treg LN	Treg pri	gdT LN	gdT pri
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.279	0.445	1.549	0.549	0.655	0.642	1.342	1.208	1.852	0.829	0.469	0.71	0.712	0.508	1.597	0.354	0.225	0.067	0.0	0.0	0.109	0.324	1.29	0.0	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.279	0.445	1.549	0.549	0.655	0.642	1.342	1.208	1.852	0.829	0.469	0.71	0.712	0.508	1.597	0.354	0.225	0.067	0.0	0.0	0.109	0.324	1.29	0.0	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.279	0.445	1.549	0.549	0.655	0.642	1.342	1.208	1.852	0.829	0.469	0.71	0.712	0.508	1.597	0.354	0.225	0.067	0.0	0.0	0.109	0.324	1.29	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	1.848	0.816	0.133	0.563	0.03	0.159	0.571	1.008	0.231	0.175	0.479	0.283	0.288	1.326	0.543	0.432	1.292	1.238	0.165	0.334	0.532	0.386	0.125	0.517	0.052
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	1.848	0.816	0.133	0.563	0.03	0.159	0.571	1.008	0.231	0.175	0.479	0.283	0.288	1.326	0.543	0.432	1.292	1.238	0.165	0.334	0.532	0.386	0.125	0.517	0.052
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	1.848	0.816	0.133	0.563	0.03	0.159	0.571	1.008	0.231	0.175	0.479	0.283	0.288	1.326	0.543	0.432	1.292	1.238	0.165	0.334	0.532	0.386	0.125	0.517	0.052
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.411	1.359	0.031	0.0	0.0	0.051	0.047	0.551	0.0	0.312	0.0	0.0	0.0	0.0	0.0	0.143	1.103	1.219	0.137	2.415	1.22	0.0	0.0	0.0	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.586	0.517	0.0	0.177	0.0	0.058	0.0	0.191	0.0	0.161	0.0	0.139	0.08	0.0	0.271	0.151	1.11	1.021	0.0	0.0	0.982	0.0	0.025	0.0	1.019
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.0	0.03	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.046	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	0.0	0.013	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	0.0	0.013	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	0.0	0.013	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.0	0.018	0.024	0.078	0.0	0.036	0.055	0.26	0.0	0.091	0.0	0.0	0.088	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.0	0.018	0.024	0.078	0.0	0.036	0.055	0.26	0.0	0.091	0.0	0.0	0.088	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.0	0.018	0.024	0.078	0.0	0.036	0.055	0.26	0.0	0.091	0.0	0.0	0.088	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.082	0.08	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.021	0.0	0.0	0.025	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	3.017	2.712	0.145	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	2.792	2.774	0.0	1.947	2.281	0.0	0.021	0.0	0.525
