""	Myo	Luminal	Naive B	Naive CD4+ T	Effector CD8+ T	CD8+ NKT-like	Plasmacytoid Dendritic	Macrophages	Basophils	Neutrophils	Plasma B	Myeloid Dendritic	CAF
ARPP21	0.0456915021254873	1.25320686261558	14.6356405534686	0.848711691870371	1.25404236810393	0.101873664024017	0	0	0	67.247579929615	0	0	1.0850027295385
DEPP1	120.435745026317	22038.000049465	0	0.0537955733858499	0.0622207932443156	37.205933237091	0	12.9870895649382	5.05255236174088	0	76.4953088111856	20709.3744038882	10444.2911826856
CD24	3380.87787239202	22266.4495250771	1036.74817398416	0.0329728823956262	0	0	5.7559581114624	2.715648129792	0.204083450067242	0	0	202.23512029992	221.117239340595
CD27	2.91874689934818	0.731953685359516	4181.90599728221	11578.5240556566	7733.08995371014	8915.75498670067	0.158076035056655	2.89311041009785	0	8.56120591724935	2375.76914507872	1.93019089028314	3.74955269343151
CD38	47.1145020615823	4.7375543054161	147.767851876936	232.207368089607	140.750262003286	500.83998937317	74.9244637268793	144.499328114883	697.289393660778	1.18101113269758	131.016133556133	19.9464214382863	15.929402041073
CD79A	1.80896744559245	20.4280151629289	116087.144119233	266.285864168479	15.6704975004318	14.2221756649127	0	13.9223662127794	0	0	8757.75751939158	0	1.49525347066901
CD79B	262.628006802608	1.63297509067319	19619.0938215071	1212.99888565589	1544.19072000912	720.767430860043	111.814380721467	6.14496624870649	693.450669562316	0	384.131297966629	313.457212475216	277.054947152209
CD9	21397.8301632065	19823.1071500888	0	121.517357840542	552.073941380908	38.9058194752497	5045.95435106941	5900.56417490729	14284.9958696079	0.111384688314417	78.8721230839118	1437.47871938892	11260.1126501438
CD99	1155.24262544056	687.883096617822	2139.16716906073	4717.60234571949	9180.58817039142	8065.31859686279	1582.50465506084	1626.05313651299	5441.73733235657	83.1159562508896	148.60072049653	58.1750299682143	10507.194522656
DNTT	0	0.224357087883797	0	2.96613569736195	166.491591420008	1.46773778964542	0	1.32240074367542	0	0	3.90219779989424	0	0
HLA-DQA1	1.85812676772595	1.00237302304054	9209.17591601225	93.364353551373	236.736781225229	468.772581359068	23915.0194293244	15566.6150254009	345.375167441009	0	22.9572284719569	7895.48714564818	15.3488954974492
HLA-DQB1	214.803757264092	157.963719052929	14899.7485803443	564.055925029693	606.133298601232	1437.83601973839	47790.5993522489	36065.8628434103	277.929379563531	52.14191390471	100.32642905666	10277.1991789679	8.17481480767871
IGLL1	14.7886607760217	1.52173572876362	0.657919648285765	0.0655304331563203	0.137828614419681	0	0	0	0	0	6.08261631632869	0	0.112316718697649
IGLL5	0	0	776.791758869471	21.3948557258747	0	3130.76459009476	0	0	0	0	102014.230626274	0	4.39487289307099
PAX5	0	0.0394316757880106	1810.83627936489	0.828299965262784	0.00523491733776577	0.0641223806113446	0	0.00885221407846088	0	0	0.0360957359140351	11.3526874620726	0.028424919821126
PTPRC	0.384523432019321	0.0683740735454451	4234.13369286968	12188.7126996478	14303.7917247616	17501.2701084532	4904.499375267	3216.37063432422	1826.2502704554	39431.0479354114	39.4151304347348	452.551161086932	173.546665144401
TCL1A	0	0	30909.9689749523	46.1375605183832	18.7842592133309	124.821631063303	3191.22901654636	0.468707652091131	0	0	0	0	0.00512444693989342
VPREB1	0	0	0	0	0	0	79.544617434837	0	0	0	0	0	0
VPREB3	0	0.306979866410484	18759.4258827003	0	0	0	676.621607845229	0	0	0	94.8072694919054	0	3.96360507761208
ACSM3	194.056035110992	55.5788575401523	949.141270860609	80.9250409864751	78.5956275494281	46.7336410699703	137.181323847483	34.5917906620652	130.62295754551	0	0.311270425321781	0	5.87687195698447
CCDC191	123.449274991046	103.114487649869	647.827691244381	273.094588948054	0	5.66588808069696	28.2696748454696	50.2008000700509	0.193363825833497	0	0	0	93.9088426957357
CD19	0	0	26320.6715655127	0	0	0	0	37.4981615042706	0	0.240147021387275	271.239413624225	0	0.613420407593226
NSMCE1	787.432108506417	935.34219559101	169.59046771745	1250.83724926069	565.578475609999	885.439759276798	497.099055250686	252.284178408063	7993.77188738387	256.600771567442	10.6649702034627	111.380127113149	770.456790444161
PCDH9	1.79262979961275	1.10020790155219	670.420743525827	8.43661718706724	1.22794489443583	8.18771221842264	0.114376593269947	0	19.2301174827804	0.022647541482554	0.0708008252046883	0	30.5758329099253
SDC1	1601.62465863127	1606.6733250046	0	0	0	0	0	0	0	14.2089583241579	359.000880013081	0	2724.74249599121
MS4A1	0	0.0197277668933602	47487.0619743146	137.102579766434	864.188431992236	715.340439507385	0	0.0252562965955869	0	0	0	42.3160877287606	0
DERL3	16.9400310054421	2.78778214794451	205.942862578748	18.0025668163153	0.696957187591937	0.465968559816553	22.2982947232634	2.60810001295838	0	25.4761296478294	423.600722659888	0	137.401411866978
FKBP11	51.6913015947979	64.9160300346897	437.315030246172	438.9493359684	1264.68066344629	642.124601082392	16.547052172819	36.1774795780004	0	0	746.312006265947	0	263.512348006055
JCHAIN	0.113039713431915	0.137931432357648	8048.50844154414	6.01552515758022	0	46014.1256926559	13799.2585601738	0	0	4.42571885304844	3737252.31522451	0	705.869449699453
