lr_pair,cell_types,means,common_in_patients,direction
Adenosine-byNT5E-and-SLC29A1-ADORA3,pan.dCAF pri-Macrophages pri,3.0966,4,CAF->immune
Adenosine-byNT5E-and-SLC29A1-ADORA3,pan.iCAF pri-Macrophages pri,4.351,5,CAF->immune
ADORA3-ENTPD1,Macrophages pri-pan.iCAF pri,3.871,5,immune->CAF
ADORA3-ENTPD1,Macrophages pri-pan.myCAF pri,4.2662,5,immune->CAF
ADORA3-ENTPD1,Macrophages pri-pan.pCAF pri,4.27875,4,immune->CAF
ANXA1-FPR1,pan.dCAF pri-Myeloid Dendritic pri,7.8364,5,CAF->immune
ANXA1-FPR1,pan.iCAF pri-Myeloid Dendritic pri,7.9258,5,CAF->immune
ANXA1-FPR1,pan.pCAF pri-Myeloid Dendritic pri,6.90525,4,CAF->immune
ANXA1-FPR3,pan.dCAF pri-Macrophages pri,7.1618,5,CAF->immune
ANXA1-FPR3,pan.dCAF pri-Myeloid Dendritic pri,6.64,5,CAF->immune
ANXA1-FPR3,pan.iCAF pri-Macrophages pri,7.251,5,CAF->immune
ANXA1-FPR3,pan.iCAF pri-Myeloid Dendritic pri,6.7296,5,CAF->immune
ANXA1-FPR3,pan.pCAF pri-Macrophages pri,6.94175,4,CAF->immune
ANXA1-FPR3,pan.pCAF pri-Myeloid Dendritic pri,5.9265,4,CAF->immune
APOE-TREM2-receptor,pan.dCAF pri-Macrophages pri,5.1988,5,CAF->immune
APOE-TREM2-receptor,pan.pCAF pri-Macrophages pri,5.26975,4,CAF->immune
APP-CD74,pan.dCAF pri-Macrophages pri,10.1398,5,CAF->immune
APP-CD74,pan.dCAF pri-Myeloid Dendritic pri,9.9134,5,CAF->immune
APP-CD74,pan.iCAF pri-Macrophages pri,9.7098,5,CAF->immune
APP-CD74,pan.iCAF pri-Myeloid Dendritic pri,9.4834,5,CAF->immune
APP-CD74,pan.pCAF pri-Macrophages pri,10.3035,4,CAF->immune
APP-CD74,pan.pCAF pri-Myeloid Dendritic pri,10.11375,4,CAF->immune
APP-SORL1,pan.dCAF pri-Myeloid Dendritic pri,4.2272,4,CAF->immune
APP-SORL1,pan.pCAF pri-Myeloid Dendritic pri,4.2335,4,CAF->immune
APP-TREM2-receptor,pan.dCAF pri-Macrophages pri,6.882,5,CAF->immune
APP-TREM2-receptor,pan.dCAF pri-Myeloid Dendritic pri,3.8052,4,CAF->immune
APP-TREM2-receptor,pan.iCAF pri-Macrophages pri,6.4518,5,CAF->immune
APP-TREM2-receptor,pan.iCAF pri-Myeloid Dendritic pri,3.3752,4,CAF->immune
APP-TREM2-receptor,pan.pCAF pri-Macrophages pri,6.884,4,CAF->immune
APP-TREM2-receptor,pan.pCAF pri-Myeloid Dendritic pri,3.9525,4,CAF->immune
AREG-EGFR,Myeloid Dendritic pri-pan.dCAF pri,3.7296,4,immune->CAF
AREG-EGFR,Myeloid Dendritic pri-pan.iCAF pri,4.7992,5,immune->CAF
BMP8A-ACVR-1A2A-receptor,Myeloid Dendritic pri-pan.dCAF pri,2.1928,5,immune->CAF
BMP8A-ACVR1-BMPR2,Myeloid Dendritic pri-pan.dCAF pri,2.1394,5,immune->CAF
BMP8A-ACVR1-BMPR2,Myeloid Dendritic pri-pan.pCAF pri,2.49925,4,immune->CAF
