lr_pair,cell_types,means,common_in_patients,direction
AGRN-NCAM1,Luminal pri-CD8_Naive pri,1.86633333333333,3,cancer->immune
AGRN-NCAM1,Myo pri-CD8_Naive pri,1.91033333333333,3,cancer->immune
ALCAM-CD6,Luminal pri-CD8_CM pri,2.9895,4,cancer->immune
ALCAM-CD6,Luminal pri-CD4_EM pri,3.58975,4,cancer->immune
ALCAM-CD6,Luminal pri-CD4_CM pri,3.1805,4,cancer->immune
ALCAM-CD6,Luminal pri-CD8_TEMRA pri,2.7635,4,cancer->immune
ALCAM-CD6,Luminal pri-CD8_EM pri,3.503,3,cancer->immune
APP-CD74,Luminal pri-Treg pri,8.61666666666667,3,cancer->immune
APP-CD74,Luminal pri-CD8_CM pri,7.0145,3,cancer->immune
APP-CD74,Luminal pri-gdT pri,8.13975,4,cancer->immune
APP-CD74,Luminal pri-CD8_Naive pri,8.84533333333333,3,cancer->immune
APP-CD74,Luminal pri-CD4_EM pri,7.734,4,cancer->immune
APP-CD74,Luminal pri-CD4_CM pri,7.35475,4,cancer->immune
APP-CD74,Luminal pri-CD4_Naive pri,8.7255,4,cancer->immune
APP-CD74,Luminal pri-CD8_TEMRA pri,7.964,4,cancer->immune
APP-CD74,Luminal pri-CD8_EM pri,9.30466666666667,3,cancer->immune
APP-CD74,Myo pri-Treg pri,7.71,3,cancer->immune
APP-CD74,Myo pri-CD8_CM pri,6.22125,3,cancer->immune
APP-CD74,Myo pri-CD8_Naive pri,7.93933333333333,3,cancer->immune
APP-CD74,Myo pri-CD4_CM pri,6.56175,4,cancer->immune
APP-CD74,Myo pri-CD8_EM pri,8.39866666666667,3,cancer->immune
APP-SORL1,Luminal pri-CD8_CM pri,5.93,4,cancer->immune
APP-SORL1,Luminal pri-gdT pri,6.0035,4,cancer->immune
APP-SORL1,Luminal pri-CD4_EM pri,3.90625,3,cancer->immune
APP-SORL1,Luminal pri-CD4_CM pri,5.5675,4,cancer->immune
APP-SORL1,Luminal pri-CD8_TEMRA pri,5.02125,3,cancer->immune
APP-SORL1,Luminal pri-CD8_EM pri,4.94966666666667,3,cancer->immune
APP-SORL1,Myo pri-CD8_CM pri,5.1365,4,cancer->immune
AREG-EGFR,CD8_CM pri-Myo pri,4.819,4,immune->cancer
AREG-EGFR,gdT pri-Myo pri,5.72025,4,immune->cancer
AREG-EGFR,CD8_Naive pri-Myo pri,6.098,3,immune->cancer
AREG-EGFR,CD4_EM pri-Myo pri,3.00725,3,immune->cancer
AREG-EGFR,CD4_CM pri-Myo pri,3.4425,3,immune->cancer
CD160-TNFRSF14,gdT pri-Luminal pri,3.74525,4,immune->cancer
CD226-NECTIN2,CD8_CM pri-Luminal pri,2.6425,4,immune->cancer
CD226-NECTIN2,CD4_EM pri-Luminal pri,3.342,4,immune->cancer
