Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE,Absolute score (sig.score)
P_01,8.56838564049566,3.78836828087021,0,0,0.759466181926189,0,0.298951199874399,1.07609254434141,0,0,0,0,0.41019664524531,0.474422654536493,0,0,0,1.67298123425793,5.31167212099909,0,0.318598461504815,0.949708068723764,22.3605365025467
P_03,4.47444346095015,9.07742635188497,0,0,0.324820495354882,0,0.414557017513589,0.814778234667656,0.434289361656178,0.134372599528225,0,0,0.0524427563405486,0.649151503161468,0.0612845336165989,0.00262784228501677,0,1.29919316973697,10.7239437429133,0,0.568493158771848,0.851366186057844,28.4633310696095
P_04,11.7480071308728,3.58436284727802,0.0129601776927155,0,0.443262684040219,0,0,0.823623619103757,0.0435497332875315,0.0519440058898248,0,0,0.00458527471562403,0.313562636820834,0.000226558638961297,0.0370766679851898,0,0.0705698795008818,1.62096487925,0,0.0704020614361201,1.02647516207661,18.7546960950764
P_05,1.21337328032677,6.99507765574323,1.53686870152871,0,0,0,2.0842893373819,0,0.506128873806854,0.0107201536956577,0,1.68753225126586,0.872789079174769,0.0538471412768784,0,0,0.199734068090304,1.81398593894646,0.345259630816942,0,0.070986431821601,1.07514465879004,17.3196061120543
P_06,15.0014594402566,2.49590071727524,0,0,1.37190610542442,0,0,0.136923970946756,0.222065611679182,0,0,0,0.606414830100564,0.868528914071466,0,0,0.552929749960194,0.594497531028395,2.85676871499575,0,0.232071047202206,0.975046858480727,24.7073955857385
P_07,5.91408062433282,3.25035495575811,0,0.557892247149005,0,0,0.669174855042885,0.605672583908657,0,0,0,0,1.28072565903569,2.41879019637116,0,0,0.0109209039875277,1.02254899358873,4.80814118795615,0,0.188192859284485,0.990235439969019,20.5383022071307
P_08,15.4582849258524,0.324216801696308,0,0,1.05855549819489,0,0.899581694447695,0,1.09309395466372,0.119849594505084,0,0,0,1.25104270284415,0,0,0.123153125738671,0.448217579467743,5.9999837490749,0,0.0915414255064054,1.01696653296381,26.7759796264856
P_11,21.6769703086062,4.43675125088451,0,0,1.01778430231744,0,0,0.309693456830821,0,0,0,0,0.443428246521047,0.471474325246354,0,0,0,4.80896779864407,0.869358154752581,0,0.422271581725441,0.919753418526105,34.0344278438031
P_12,14.2265272409691,9.80476342984991,0.119318492477213,0,1.72802586623282,0,0,0.553054119759057,0,0,0,0,0.523404456434119,0.287952662603643,0,0,0.242593916521352,1.06975179451449,2.03342296121559,0,0.0786792543848637,1.02575335352031,30.5888149405773
P_13,16.4419593281079,11.4836138659237,0.0105288091113243,0.202831016249503,0.34611310656873,0,0.069934601222148,1.04287646931623,0,0,0,0,0.103560831678277,0.558643037488804,0,0,0,0.00977505345466081,1.45713162281424,0,0.306177964711379,0.952026980938141,31.7269677419355
