Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE
P_01,0.383192310234586,0.169422065541171,0,0,0.033964577810541,0,0.0133695897609769,0.0481246299353708,0,0,0,0,0.0183446691987284,0.0212169620564542,0,0,0,0.0748184746849608,0.237546720777211,0,0.318598461504815,0.949708068723764
P_03,0.157200274627292,0.318916515065835,0,0,0.0114118932376715,0,0.0145645995017152,0.0286255404427207,0.0152578544160586,0.00472090210381932,0,0,0.00184246728579643,0.0228065893473224,0.00215310476018152,9.23237789206807e-05,0,0.0456444527367399,0.376763482695927,0,0.568493158771848,0.851366186057844
P_04,0.626403492294231,0.191118151374312,0.000691036401070658,0,0.0236347569586364,0,0,0.0439155939892825,0.00232207085983997,0.00276965329784584,0,0,0.000244486751071791,0.016719153178022,1.20801018482392e-05,0.00197692715452336,0,0.00376278448571653,0.0864298131535995,0.01,0.0704020614361201,1.02647516207661
P_05,0.0700577872543109,0.403882028868699,0.0887357767599031,0,0,0,0.120342767837616,0,0.0292228859324111,0.000618960594502002,0,0.0974347938600839,0.0503931251974208,0.0031090280534383,0,0,0.011532252338654,0.104735981130884,0.0199346121720773,0.01,0.070986431821601,1.07514465879004
P_06,0.607164740945647,0.101018365477416,0,0,0.0555261318686417,0,0,0.00554182129280312,0.00898781949350263,0,0,0,0.0245438588618622,0.0351525886675321,0,0,0.0223791191605542,0.0240615215377677,0.115624032694272,0,0.232071047202206,0.975046858480727
P_07,0.287953724932507,0.158258210585177,0,0.0271635036588034,0,0,0.0325818000092799,0.0294899051440762,0,0,0,0,0.0623579128459329,0.117769724682081,0,0,0.000531733532664448,0.049787415886485,0.234106068722993,0,0.188192859284485,0.990235439969019
P_08,0.577319117413795,0.0121084944871861,0,0,0.039533772917418,0,0.033596593177785,0,0.0408236774120669,0.00447601156622237,0,0,0,0.0467225744975797,0,0,0.00459938823739072,0.0167395399055498,0.224080830385006,0.01,0.0915414255064054,1.01696653296381
P_11,0.636913022545585,0.130360682754723,0,0,0.0299045515613906,0,0,0.00909941716229584,0,0,0,0,0.0130288144862052,0.0138528647347953,0,0,0,0.141297154184999,0.0255434925700058,0,0.422271581725441,0.919753418526105
P_12,0.46508919252367,0.320534268780825,0.00390072295082385,0,0.0564920827952877,0,0,0.0180802728328455,0,0,0,0,0.0171109752846228,0.0094136586580104,0,0,0.00793080467460481,0.0349719921021007,0.0664760293972087,0.01,0.0786792543848637,1.02575335352031
P_13,0.518232926066096,0.361951194306701,0.000331856772351041,0.00639301612115325,0.0109091139557989,0,0.00220426363436274,0.0328703479575767,0,0,0,0,0.00326412635839114,0.0176078294664892,0,0,0,0.000308099202362176,0.0459272261587186,0,0.306177964711379,0.952026980938141
P_14,0.360229146930242,0.3596957354014,0,0,0.0533835029162598,0,0,0.0443019579099123,0.0211536293088499,0,0,0,0.022924317873313,0.0243342733824896,0,0,0,0.0533927055179506,0.0605847307595825,0,0.17268692829979,0.998455996999849
P_15,0.495869964551523,0.333617940705169,0,0,0.0425798653432209,0,0.0358558400059198,0.0251376967018884,0.00540715940671206,0,0,0,0.0242895059612253,0.0101001467796273,0,0,0,0.00945750370004358,0.0176843768446709,0,0.182099402180197,0.991200945759266
P_16,0.320381274762666,0.182048864958916,0.0264784908233328,0,0,0,0.0425669145718442,0.0275969343061535,0.0349837176267185,0.0433276402963473,0,0.0153098621664458,0.00570222603274499,0.0254943676115439,0,0,0.00730271036449657,0.177902459871693,0.090904536607097,0,0.327393037321723,1.00824633722188
P_17,0.00523343827649094,0.766464950637413,0.0047758887664993,0.000563810018694237,0.0299059658384453,0,0,0.0348233355629342,0.000691675572655742,0,0,0,0.00897295445286267,0.00365907740152259,0,0,0,0.0762280458250079,0.0686808576474739,0,0.300228055863762,0.96253260626461
P_18,0,0.669940994979771,0.00784047717690833,0.0102235781773604,0.0339119495424508,0,0.000521242572770888,0.040369082376921,0.0394421390464354,0,0,0,0.0148087692371506,0.016343746715489,0.00206027239895739,0.000325664120590702,0.0140580375718985,0.0889989683740366,0.0611550777092597,0.07,0.0291211074258863,1.07978675909238
P_19,0.305211366076845,0.346223093123154,0.0174749815542661,0.00474818088051279,0.0672291662262814,0,0,0.103058955972328,0.00642695185401572,0.0135835537990822,0,0,0.0208030355346229,0.0460118185932639,4.32597129467662e-05,0,0.0172170415122547,0,0.0519685951604267,0,0.210793952439124,0.979529263670103
P_20,0.673566668695278,0.191363265513605,0.00369345779812681,0,0,0,0.00235802209193396,0.044790805878283,0,0,0,0,0,0.0257435649453286,0,0,0,0,0.0584842150774439,0,0.195489590465347,0.988981019187824
P_21,0.325833560634577,0.394169145920117,0,0,0.0146829753393228,0.000536694814493844,0,0.0215438453143507,0,0.00148118138257919,0,0,0,0.0334549977942935,0.000596682356607904,0,0,0.0915469786064427,0.116153937837214,0.0600000000000001,0.0355325415278962,1.07517124244748
P_22,0.251956969424967,0.162911844273972,0.0609908429082488,0,0,0,0.0676667490717461,0,0,0,0,0.0425088718054457,0.046143221604135,0.0616598819198401,0,0.00202622845301294,0,0.15493377995805,0.149201610580582,0.13,0.0161210185965947,1.16354952417415
P_23,0.296303619182128,0.040518193339868,0.00432373858144,0.0142808097843113,0.0178232763733252,0,0.00243376951019854,0.0220314133510203,0.0403687395941156,0.00584373764136323,0,0,0,0.0330081360939313,0.00111503190737275,0.00240400011760509,0,0.136307063418564,0.383238471104756,0,0.665132713853945,0.753271327198756
P_24,0.204875666752123,0.335666656197603,0.00960108696552874,0,0.0262868115026752,0,0.00502288299451567,0.016580168919303,0.0316506858389228,0,0,0,0,0.0373307116067752,0,0,0,0.179096059079374,0.153889270143179,0,0.375251714048396,0.977343086073162
P_25,0.313988475219252,0.225382616004391,0,0,0.0174864805657413,0,0,0.0457748890555984,0,0,0,0,0.0181867118852939,0.054814804241876,0,0,0,0.224505286594236,0.0998607364336105,0,0.530415104159254,0.899872154277934
P_26,0.183894699520739,0.533036134727492,0.000934199759200573,0,0.0232733345056349,0,0.0109096479945468,0.00377974686074574,0.0302461006956084,0,0,0,0,0.0201481429515176,0,0.00173265320621201,0.0101595371975688,0.0168824122467758,0.165003390333958,0.01,0.0959168817668049,1.01864011788887
P_27,0.259801739779368,0.428531881271899,0,0.00512001841787562,0,0,0.0543161156034566,0.0320610429441358,0.0252015628178191,0,0,0,0,0.0227094136833932,0.000226185897520017,0,0,0.0278488002995042,0.144183239285029,0,0.38707310351944,0.925616038889667
P_28,0.627872779901077,0.104436719778945,0.0019349761642358,0,0.0509330579832357,0,0.0153246210714045,0,0.0233905805561672,0.00554854114715154,0,0,0.00907894684942694,0.0597970091913404,0.000236305808214776,0,0.00531839072123804,0.0027184152609969,0.0934096555665655,0,0.3275839681386,0.945213095323792
P_29,0.151568194142318,0.349129160679623,0,0,0,0,0.0771466375371283,0,0.0278619417936574,0,0,0,0.00880894883480322,0.0174037406302115,0.00225368298606939,0,0,0.258636131623698,0.107191561772492,0,0.830736003826074,0.569253083521441
P_30,0.298311876413586,0.572742140552966,0,0,0.0248351866749557,0,0.0197447396540165,0.0033369517698506,0.00547917110436488,0,0,0,0,0.0143661351546796,0,0,0.00954702285862323,0.00210998259429445,0.0495267932226631,0.01,0.140128006124921,1.00847020921461
P_31,0.600277904068086,0.0915638668928573,0.0233674435759054,0,0.0630883372395211,0,0,0.0540035875727427,0,0,0,0,0.0159442463952492,0.0654083049355035,0,0,0,0.00149661601741704,0.0848496933027181,0,0.218491657690903,0.978139805737771
P_32,0.206657501645445,0.253078248968606,0,0.00131092341706639,0.0207719508734757,0,0.00068775646720215,0.0205092954128597,0,0.000651530733925334,0,0,0.0294141376431449,0.0266744096775933,0,0.000631876569846175,0.000829491593036154,0.324479247561156,0.114303629436643,0,0.797341713281966,0.713271292068745
P_33,0.441418834907771,0.25833998273084,0,0,0.0254264615272873,0,0.0164416026263435,0.00686029506276743,0.0141248769705318,0,0,0,0,0.0362969115588841,0,0,0,0.0103179565633317,0.190773078052243,0,0.40651123418765,0.919649255422187
P_34,0.724180841647783,0.0211555989899853,0.000336999380720583,0,0.0299439104074443,0,0,0,0.00158527083116766,0,0,0,0.000549574380263529,0.0148504343052132,0.000667078499620633,0,0.000625622628825995,0.0273965593157502,0.178708109613225,0,0.312834488688923,0.949938331824083
P_35,0.381029628238428,0.173886937981624,0,0,0.00673523136428181,0,0.0139268412415925,0,0,0,0,0,0.0204539483278012,0.0257549580450271,0,0,0.00394967681048149,0.268504603218318,0.105758174772446,0,0.410013154180187,1.07839596207816
P_36,0.327600658824977,0.0802216958291801,0,7.93774248810192e-05,0.0108438941760147,0,0.00408660475942463,0.0286381236460456,0,0,0,0,0.0107170306751154,0.0299839640977188,0.00567271371583304,0,0,0.113024608007138,0.389131328843672,0,0.533988403123531,0.845992966123553
P_37,0.618165771152491,0.266597252010102,0.00849502701202348,0,0.0379407667613661,0,0,0.0191944878048624,0.00643200786243496,0,0,0,0,0.0164233604773166,0,0,0.00124769864407241,0.0213301282638373,0.00417350001149368,0,0.370320134780532,0.92970110754435
