Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE
ACC_0210T_01,0,0.594341274246215,0.00290736329702527,0,0.00228115793131036,0.00307503448513287,0,0.00317092383828496,0,0.00264521652224078,0,0.00498195383267093,0.000154778542712118,0.00289287106631172,5.0901827491401e-06,0,0.0032656704045699,0,0.380278665650777,0,0.402055143665836,0.917226713408781
ACC_0241T_01,0.669687684158156,0.252392355654866,0.0080872579504826,0,0,0.00318544917053104,0.00194088203922314,0.00919657323736119,0,0,0,0.00787918976711535,0.00831691056724208,0.0182320275608141,0,0,0,0,0.0210816698942085,0,0.473209827472842,0.881165064846311
ACC_0113T_01,0.593833304270699,0.334006587426715,0.000607161864321675,0,0,0.00178608391346783,0.00865916060419269,0.00129735801374978,0.00171117597618167,0.00125537002157974,8.19053664374477e-05,0.00439005903775617,0,0.00607740899084114,0,0,0,0,0.0462944245140574,0,0.510045222507116,0.861537467954251
ACC_0030T_01,0.208428924278696,0.674390786065618,0.000787136733331604,0,0,0,0.00621727899017172,0.0108281352259557,0,0.00541971221815246,0,3.4676218013032e-05,0.00611556898612573,0.00236307088848477,0.000266947032374133,5.84542356836705e-05,0,0,0.0850893091273932,0,0.564487738303812,0.830370977201535
ACC_0050T_01,0,0.711357954629772,0.0408574782794962,0,0.00176605578039903,0.00361394857139719,0,0.0129577250588896,0,0.000764643055688406,0,0.0109070340862006,0.00385418246549252,0.04531979888091,0,0.000871563262622111,0,0,0.167729615929132,0,0.313914018835665,0.957335916439912
ACC_0034T_01,0.164515739095168,0.616808197348247,0.0359251321354356,0,0.00551173654874776,0,0.00212610946157529,0.00266221866171667,0,0.00058939960247627,0,5.16332084534941e-05,0.00112172166857786,0.021422164480246,0,0.000581815371563623,0,0,0.148684132417792,0,0.246466760302588,0.989085098088115
ACC_0296T_01,0.317787481331385,0.402088500015532,0.0159690346937303,0,0,0.00669004488510109,0.0106848072655583,0.00521511969337338,0,0,0,0.00752703239135071,0.000303697533065136,0.0182267438134915,0,0,0,0,0.215507538377412,0,0.393743353692358,0.919562756907933
ACC_0014T_01,0,0.85178178647424,0.0197449169623881,0,0,0.00513230181310249,0,0.0071182698171421,0,0.0043813916909656,0,0.000994772152660345,0.0049571611553436,0.0131806297860003,0,0,0.00112450767333791,0,0.0915842624748197,0,0.398455760259173,0.921197151065275
ACC_0225T_01,0,0.337655478536238,0.0267824764898071,0,0,0.0126787906004086,0.0301475971052567,0.00627024616273968,0,0.00412307255300213,0,0.0151591480346633,0.0141510861339886,0.0205699306530254,0,0.00205632424525613,0,0,0.530405849485614,0,0.429336745328239,0.903051303307612
ACC_0248T_01,0.538040506184811,0.425195279632553,0.00255670464072356,0,0.00699321220087041,0,0,0.00346625958505508,0,8.03319390642609e-05,0,0.000466104016807509,0.00302014558021028,0.00455892834221982,0,0,0.000327872329265808,0,0.0152946555484194,0,0.325344282395391,0.956558602188559
