Mixture,Myo,Luminal,Naive B,Naive CD4+ T,Effector CD8+ T,CD8+ NKT-like,Plasmacytoid Dendritic,Treg,Macrophages,Basophils,Neutrophils,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_01,0.326863364008955,0.122975858245808,0,0.0738838218422013,0,0,0.0278815076507445,0,0.00912016903247808,0,0,0.148880716057314,0.00517589934880609,0.285218663813694,0,0.743001252520732,0.682101266772879
P_02,0.14840525270665,0.16684876544036,0,0.0692128163529005,0,0.00691916503650879,0.00231027289951645,0,0.13846893534747,0.00529917581971551,0.122530170900013,0.0353396002688107,0,0.304665845228054,0,0.678603058337402,0.761904343567099
P_03,0.165655858037847,0.201443847985929,0,0.132164438650507,0,0,0.00125660318087425,0,0.0415738206126589,0.00806165279104495,0.00425957921381736,0.0604924787436384,0,0.385091720783684,0,0.673205744847817,0.746863444897875
P_04,0.516142609823672,0.160353609495668,0,0.0684908361409054,0,0.0219722970006862,0.0922782101488897,0,0,0,0.00562029166583314,0.0323623422946576,0,0.102779803429687,0,0.589161968115595,0.821353751015977
P_05,0.246435527693831,0.196217922212804,0,0.0797641246785402,0,0,0.109420577092108,0.147256916238178,0,0,0,0.119321041153254,0,0.101583890931284,0.05,0.298190904747887,0.980040633413582
P_06,0.609959961594009,0,0,0.115695387119244,0,0,0.0140666010930415,0,0.0385587617375657,0.00151141497760867,0,0.0174149899645008,6.9985707322568e-05,0.202722897806708,0,0.583644635715589,0.829560701432928
P_07,0.21252547224924,0.0391098481670261,0,0.236070175730268,0,0.000373056965123206,0,0,0.203591749756763,3.29736973092471e-06,0,0.0386835260698584,0,0.26964287369199,0.02,0.460366136522989,0.886358403294602
P_08,0.439760765457319,0.0723572981604177,0,0.0497569091388285,0,0.00717182978862724,0.0289393748475725,0,0.0414102809552497,0,0,0.0301939278879642,0,0.330409613764021,0.02,0.471532627739909,0.903307909108659
P_09,0.421489268566608,0.386664658629534,0,0.017298912233059,0.0208443511667573,0,0.0269563966251611,0,0.00195792024708035,0.00363282177781819,0.0260583372303378,0.0107825407020809,0,0.0843147928215638,0,0.702876632498899,0.717651286007922
P_10,0.438353595649209,0.188575432938628,0,0.0935341668210888,0,0,0,0,0.0444176890473017,0,0.00328754772336408,0,0,0.231831567820408,0.02,0.507638218595259,0.883911086533248
P_11,0.702375446759378,0.0614277168886389,0,0.0275234389854481,0,0,0.0923878315823487,0.00216711090423008,0,0,0,0,0.00196109995854967,0.112157354921406,0,0.821632840495342,0.571694273184312
P_12,0.292120530595893,0.3556369754329,0,0.0928761580194263,0,0,0,0,0.0361715950642446,0,0.00588928978546996,0.0321174119230201,0,0.185188039179046,0,0.579632852245438,0.818186702092223
P_13,0.555947946689739,0.247054020109902,0,0.0318914479586309,0,0.00231422583354931,0.00505093995163248,0,0.0332637101882194,0.000901337424658675,0,0,0.00164811773301273,0.121928254110655,0,0.787008249326809,0.619348984221839
P_14,0.438551351325028,0.231003638349715,0,0.038485755606033,0.00626946638435114,0,0,0,0.0322741369247589,0,0,0.0350676728486581,0.00228291795088578,0.21606506061057,0,0.583080479736972,0.82511305872575
P_15,0.497175272772151,0.208757339173765,0.0144788209077365,0.0947048770688777,0,0,0,0,0.0641216028840057,0,0,0.0412468551971785,0,0.0795152319962861,0.02,0.505976135542507,0.8977154881231
P_16,0.140195614892569,0.0278278096108078,0,0.0979235428551419,0,0.0243733932934779,0.144228070007898,0,0,0,0.000325898823361395,0.450096967044031,0.0217283577636549,0.0933003457090586,0,0.582307200674418,0.812522584248546
P_17,0,0.544066272201012,0,0.0349345302419613,0.0109054810996967,0.00808873926635651,0.0416932410100926,0,0,0.00498912494595458,0.0608301701588989,0.102210736736907,0.00480071399508573,0.187480990344035,0.04,0.323444855772053,0.969557988066241
P_18,0,0.257574092724065,0,0.131657864409976,0,0.0321725927731946,0,0.0155465735432239,0.26921066479188,0,0.105875513024744,0,0,0.187962698732916,0.21,0.142052033811291,1.02099279353509
P_19,0.452239868042501,0,0,0.147820288727438,0,0,0.215517280464441,0.00432312974770941,0.0192417651349657,0,0,0,0,0.160857667882945,0.04,0.338399299622035,0.974624771340084
P_20,0.654739881206905,0.134474182677991,0,0.0862337057823786,0,0,0,0,0.0409461516706355,0,0,0,0,0.0836060786620903,0,0.660755648231021,0.779575114693968
P_21,0.296045142872351,0.309816768134664,0,0.0677303232605073,0,0,0.00231809487235152,0,0.0668993670668453,0.00361585587696669,0.0192643942771159,0.0574070490940324,0,0.176903004545166,0,0.68401583583053,0.729330024243918
P_22,0.191524691349927,0.211194595245752,0.0363916037969628,0.0706857768877485,0,0.0517722288532858,0,0.00584081599445402,0.0847999138032099,0.00269668556476771,0.0759579269136132,0.0901641977299352,0,0.178971563860344,0.01,0.575187905190548,0.819408833754436
P_23,0.314450906999385,0,0,0.121795024532593,0,0.0241885868480379,0.0563358685346441,0,0.00738626817084853,0,0.0304719164702873,0.147894825710786,0,0.297476602733418,0,0.692867661500263,0.733123263781522
P_24,0.118544758243047,0.260508091794999,0,0.0862855448409285,0,0,0,0,0.0616194043584268,0,0,0.22326199692708,0,0.249780203835518,0.02,0.485700959148556,0.873277602812325
P_25,0.190376540053536,0.188849962027326,0,0.0954734926314497,0,0,0.00983888909687312,0,0.0671051749126835,0,0,0.306229472169837,0,0.142126469108294,0,0.633460680007554,0.77477342771389
P_26,0.225199425098616,0.184326687722439,0,0.105866544112586,0,0,0,0,0.0575223428251633,0.00514703386311813,0.015061847560201,0.0129898732556392,0,0.393886245562238,0.02,0.482230450618259,0.88036279659214
P_27,0.559373325994941,0,0,0.0944166091289346,0,0.011408763660865,0.0335850164517755,0,0,0.000637501423065506,0.050927969445014,0.0381157306111463,0.0259663686080769,0.185568714676181,0.02,0.489219808493748,0.896768874491207
P_28,0.559088856396145,0,0,0.189793824929548,0,0.00751352021257875,0,0,0.100084548617385,0,0,0,0,0.143519249844344,0.02,0.438605397060928,0.936463410672812
P_29,0.104250430008652,0.214278701517165,0,0.104602399380377,0,0.023031285922402,0.0395659355432366,0,0.0186159803289233,0.0151758611778939,0.0202819543220931,0.270386883297214,0,0.189810568502042,0.01,0.563277469423628,0.825537465782712
P_30,0.370465778354455,0.176061566674171,0,0.0354454182834235,0,0,0,0.0285182339816273,0.173741658225721,0,0,0.021302211861244,0.0134545331179951,0.181010599501363,0.03,0.38060534470285,0.951845474523289
P_31,0.634819882296966,0.00279882259210325,0.0379726286277891,0.0639783806829411,0,0,0,0,0.0471668855698838,0,0,0,0.00338951816689108,0.209873882063425,0.01,0.535720153511666,0.880513564738024
P_32,0.133453089864501,0.0282765165354071,0,0.123897564352646,0,0.035606118836059,0.127188885712201,0,0,0.00151051862834189,0,0.458287618821243,0.0079435021243212,0.0838361851252797,0.02,0.483432945248067,0.888336457668007
P_33,0.390967089998367,0.190558861169104,0,0.091208101960256,0,0,0,0,0.0761640665384222,0,0,0.0217851194452558,0,0.229316760888595,0.01,0.576132728204688,0.820321615984448
P_34,0.553992084632001,0,0,0.117774512171621,0,0.00464690027456497,0.00526719889444072,0,0,0,0,0.0387797251220495,0,0.279539578905323,0,0.615624378328461,0.795007225214822
P_35,0.410745681359468,0.12644660589268,0,0.134423130997862,0,0,0,0,0.0387312896178977,0,0,0.148350735905855,0,0.141302556226238,0,0.587301358543624,0.809925503225233
P_36,0.321895358755271,0,0,0.111613041369679,0,0.00972910705198137,0.122451104774766,0,0,0.0285499125368559,0.0354078470786073,0.0522730694547238,0,0.318080558978116,0.01,0.570485805015126,0.82012018707106
P_37,0.59732506036573,0.221915212659503,0,0.0907238084577003,0,0,0,0,0.0170969262019781,0,0.00966665243350838,0.0291670036368031,0,0.0341053362447777,0,0.664787752186289,0.774372856582575
P_38,0.425947056818776,0.174420229867478,0,0.066865340939533,0,0,0.0124400157713542,0,0.0521571295331228,0,0,0.15512486120863,0.00183192561936174,0.111213440241744,0.01,0.513583023999726,0.872136725910048
P_39,0.3007156996922,0.37755872110898,0,0.00063414300259286,0.0319862506506274,0,0.10230826228396,0,0,0,0,0.0102026027920916,0.0152694808289576,0.16132483964059,0,0.6497082628756,0.759315154546123
P_40,0.731623457394737,0,0.0120202439402457,0.100993748420656,0,0,0,0,0.0458272033233778,0,0,0.040076327649008,0,0.0694590192719753,0,0.687276627808585,0.74738841351226
P_41,0.209917480112196,0,0,0.152821384605258,0.00957901627966089,0,0,0,0.189001396517464,0,0.0788745260274874,0,0,0.359806196457934,0.04,0.349956328724103,0.945874047579621
P_42,0.229800645114242,0.219243200359967,0.00935881020507654,0.141426344634749,0,0.00878383607101842,0.0342753136611489,0,0,0.00242040475303813,0.126542815051286,0.0243562486417643,0,0.203792381507709,0,0.669770939196199,0.752096836580043
P_43,0.609779512497027,0.290608765014379,0,0.0531712910852411,0,0.00213718529226697,0,0,0.0267176303222476,0,0,0,0,0.0175856157888381,0.02,0.482745909296982,0.985088739681586
P_44,0.083638979943716,0,0,0.180283516804576,0,0.0139469375679216,0,0,0.0828369905030159,0,0,0.0169359591192306,0,0.62235761606154,0.02,0.438632501055986,0.923516709415483
P_45,0.651860294901821,0.104604221811928,0,0.0893316949134041,0,0.00261460176589459,0,0,0.0458720296564991,0,0,0.021581599730829,0,0.0841355572196239,0,0.649012624503825,0.786009768678988
P_46,0.0743401461181331,0.341802507397815,0,0.0427112635464116,0,0.0466024579519189,0.00880129921446718,0,0.148819083846462,0,0,0.0360341229092449,0,0.300889119015547,0.04,0.322175389352258,0.961925180426047
P_47,0,0.302897512539286,0,0.00852020427034425,0,0,0,0.000292328312536341,0,7.83537921742381e-07,2.21767895526032e-05,0.14523330501104,0,0.54303368953932,0.12,0.208466820221301,1.05953668092426
P_48,0,0.146978587842811,0.0941310745812473,0,0,0,0.402556164725893,0.277197406977032,0,0,0.0303179643576834,0.00804526776653398,0,0.0407735337488001,0.62,0.0298301085950738,1.07760438264587
P_49,0.276397825849075,0.123706696459353,0.0170845792982483,0.169138860157167,0,0,0,0,0.0745909452539084,0,0,0.087999681895955,0,0.251081411086293,0,0.650362400099737,0.763529458135467
P_51,0,0.325611037585281,0.0170563676410262,0.0726652580973847,0,0.0141303939277261,0,0,0.0832138917705855,0,0.000957042713055393,0,0,0.486366008264942,0.03,0.36834522685596,0.949374854523835
P_52,0.0913541644269736,0.288381121186784,0,0,0.0607702111660325,0,0,0.0283667097952711,0.0907901385652875,0,0,0.0147429882795569,0.0075056129311138,0.418089053648981,0.03,0.360835044995679,0.950465074432729
